species_code,dbw,curtis_arney_b0,curtis_arney_b1,curtis_arney_b2
AB,0.1,526.1392688,3.89232121,-0.22587084
AE,0.1,418.5941897,3.17038578,-0.18964025
AH,0.2,628.0209077,3.88103963,-0.15387585
AP,0.2,574.0200612,3.86373895,-0.16318776
AS,0.2,251.4042514,3.26919806,-0.35905996
BA,0.2,178.9307637,4.92861465,-0.63777014
BB,0.1,170.5253403,2.68833651,-0.4008071
BC,0.1,364.0247807,3.55987361,-0.27263121
BD,0.1,293.5715132,3.52261899,-0.35122247
BE,0.2,287.9445676,3.27674704,-0.26617485
BG,0.2,319.9788466,3.67313408,-0.30651323
BJ,0.2,157.4828626,3.38919504,-0.39151499
BK,0.1,880.2844971,4.59642097,-0.21824277
BN,0.3,285.8797853,3.52138815,-0.3193688
BO,0.2,224.716279,3.11648501,-0.35982064
BT,0.2,66.6488871,135.4825559,-2.88622709
BU,0.3,630.9504602,4.51086779,-0.26826208
BY,0.2,119.5749091,4.13535453,-0.79625456
CA,0.3,190.9797059,3.69278884,-0.52730469
CB,0.1,182.6306309,3.12897883,-0.46391125
CK,0.1,72.7907469,3.67065539,-1.09878979
CO,0.2,94.54465221,3.42034111,-0.818759
CT,0.2,660.4996521,3.92077102,-0.21124354
CW,0.1,190.9797059,3.69278884,-0.52730469
DW,0.1,863.0501053,4.38560239,-0.14812185
EL,0.1,1005.80672,4.6473994,-0.20336143
FM,0.2,603.6736175,3.9896005,-0.21651785
FR,0.1,2163.946776,6.26880851,-0.2161439
GA,0.2,404.9692122,3.39019741,-0.255096
HA,0.2,2620.585492,5.84993689,-0.18030935
HB,0.1,484.7529797,3.93933286,-0.25998833
HH,0.2,109.7324294,2.25025802,-0.41297463
HI,0.3,337.6684758,3.62726466,-0.32083172
HL,0.1,778.9356784,4.20756452,-0.18734197
HM,0.1,266.4562239,3.99313675,-0.38600287
HY,0.1,1467.643523,5.33438509,-0.17395792
JU,0.3,212.7932729,3.47154903,-0.3258523
LB,0.2,265.7422693,3.59041788,-0.35232417
LK,0.1,208.2300233,3.13834277,-0.37158262
LL,0.5,98.56082813,3.89930709,-0.86730393
LO,0.2,153.9588254,3.11348786,-0.38947124
LP,0.5,243.860648,4.28460566,-0.47130185
MB,0.2,750.1823388,4.14262749,-0.15940723
MG,0.2,585.6609078,3.41972033,-0.17661706
ML,0.2,366.4744742,2.8733336,-0.1819814
MS,0.2,139.3315132,2.89981329,-0.48514023
MV,0.2,184.1931837,2.84569124,-0.36952511
OH,0.2,109.7324294,2.25025802,-0.41297463
OS,0.3,212.7932729,3.47154903,-0.3258523
OT,0.2,1021.35552,8.3958757,-0.10372075
OV,0.2,184.0856396,3.49535241,-0.46211544
PC,0.2,162.6505825,3.20796415,-0.47880203
PD,0.5,142.7468108,3.97260802,-0.5870983
PI,0.2,2163.946776,6.23880851,-0.2161439
PO,0.1,765.2907525,4.22375114,-0.18974706
PP,0.5,208.7773185,3.72806565,-0.410875
PS,0.2,488.9349192,4.06503751,-0.27180547
PU,0.5,3919.995225,6.87312726,-0.19063343
QS,0.1,215.0009406,3.14204012,-0.39067352
RA,0.2,257.0532628,3.4047448,-0.30291274
RD,0.2,103.1767713,2.21695491,-0.3596216
RL,0.1,1337.547184,4.48953501,-0.14749529
RM,0.2,268.5564351,3.11432843,-0.29411156
RO,0.2,700.0636452,4.10607389,-0.21392785
SA,0.5,1087.101439,5.10450596,-0.24284896
SB,0.1,68.92234069,43.33832185,-2.44448482
SD,0.2,690.4917743,4.15983216,-0.18613455
SK,0.1,150.4300023,3.13270999,-0.49925872
SM,0.2,209.8555358,2.95281334,-0.36787496
SN,0.2,281.3413276,3.51695826,-0.3336282
SO,0.2,196.0564703,3.0067167,-0.38499624
SP,0.5,444.0921666,4.11876312,-0.30617043
SR,0.5,333.3145742,4.13108244,-0.37092539
SS,0.1,755.1038099,4.39496421,-0.21778831
SU,0.2,290.90548,3.6239536,-0.3720123
SV,0.2,80.51179925,26.98331005,-2.02202808
SY,0.1,644.3567687,3.92045786,-0.21444786
TM,0.5,691.5411919,4.19801014,-0.1856823
TO,0.2,2137.575644,5.80907868,-0.15590506
TS,0.2,252.3566527,3.24398683,-0.33343129
VP,0.5,926.1802712,4.46209203,-0.20053974
WA,0.2,91.35276617,6.99605268,-1.22937669
WE,0.1,1001.672885,4.57310438,-0.18898217
WI,0.1,408.20772475,3.81808285,-0.27210505
WK,0.1,470.0617193,3.78892643,-0.25123824
WN,0.4,93.71042027,3.6575094,-0.88246833
WO,0.2,170.1330787,3.27815866,-0.48744214
WP,0.4,2108.844224,5.65948135,-0.18563136
WT,0.2,163.9728054,2.76819717,-0.44098009
YP,0.2,625.7696614,3.87320571,-0.23349496
