species_code,small_tree_b0,small_tree_b1,small_tree_b2,small_tree_b3,small_tree_b4
AB,29.73,0.3631,-0.0127,16.7616,-0.6804
AE,6.4362,0.6827,-0.0194,10.9767,-0.5477
AH,0.9276,1.0591,-0.0424,0.3529,0.3114
AP,0.9276,1.0591,-0.0424,0.3529,0.3114
AS,1.6505,0.9096,-0.0644,125.7045,-0.8908
BA,4.2286,0.7857,-0.0178,4.6219,-0.3591
BB,6.0522,0.6768,-0.0217,15.4232,-0.6354
BC,7.1846,0.6781,-0.0222,13.9186,-0.5268
BD,4.7633,0.7576,-0.0194,6.511,-0.4156
BE,2.9435,0.9132,-0.0141,1.658,-0.1095
BG,1.3213,0.9995,-0.0254,0.8549,-0.0016
BJ,0.9276,1.0591,-0.0424,0.3529,0.3114
BK,0.968,1.0301,-0.0468,0.1639,0.4127
BN,1.2898,0.9982,-0.0289,0.8546,0.0171
BO,1.2866,0.9962,-0.0355,1.4485,-0.0316
BT,5.2188,0.6855,-0.0301,50.0071,-0.8695
BU,6.1308,0.6904,-0.0195,10.1563,-0.533
BY,1.0902,1.0298,-0.0354,0.7011,0.1178
CA,4.2286,0.7857,-0.0178,4.6219,-0.3591
CB,1.0945,0.9938,-0.0755,2.5601,0.0114
CK,1.2866,0.9962,-0.0355,1.4485,-0.0316
CO,1.2866,0.9962,-0.0355,1.4485,-0.0316
CT,1.2866,0.9962,-0.0355,1.4485,-0.0316
CW,1.2834,0.9571,-0.068,100.0,-0.9223
DW,0.9276,1.0591,-0.4242,0.3529,0.3114
EL,6.4362,0.6827,-0.0194,10.9767,-0.5477
FM,1.0645,0.9918,-0.0812,1.5754,-0.0272
FR,2.077,0.9303,-0.0285,2.8937,-0.1414
GA,1.6505,0.9096,-0.0644,125.7045,-0.8908
HA,0.9276,1.0591,-0.0424,0.3529,0.3114
HB,0.9276,1.0591,-0.0424,0.3529,0.3114
HH,0.9276,1.0591,-0.0424,0.3529,0.3114
HI,1.8326,1.0015,-0.0207,1.408,-0.0005
HL,0.968,1.0301,-0.0468,0.1639,0.4127
HM,2.1493,0.9979,-0.0175,1.4086,-0.0008
HY,29.73,0.3631,-0.0127,16.7616,-0.6804
JU,0.9276,1.0591,-0.0424,0.3529,0.3114
LB,1.5341,1.0013,-0.0208,0.9986,-0.0012
LK,0.9276,1.0591,-0.0424,0.3529,0.3114
LL,1.421,0.9947,-0.0269,1.1344,-0.0109
LO,1.3466,0.959,-0.0574,8.9538,-0.3454
LP,1.1421,1.0042,-0.0374,0.7632,0.0358
MB,0.9276,1.0591,-0.0424,0.3529,0.3114
MG,1.3213,0.9995,-0.0254,0.8549,-0.0016
ML,1.3213,0.9995,-0.0254,0.8549,-0.0016
MS,1.3213,0.9995,-0.0254,0.8549,-0.0016
MV,1.3213,0.9995,-0.0254,0.8549,-0.0016
OH,0.9276,1.0591,-0.0424,0.3529,0.3114
OS,0.9276,1.0591,-0.0424,0.3529,0.3114
OT,0.9276,1.0591,-0.0424,0.3529,0.3114
OV,1.3295,0.9565,-0.0668,16.0085,-0.4157
PC,1.0902,1.0298,-0.0354,0.7011,0.1178
PD,1.1266,1.0051,-0.0367,0.678,0.0404
PI,1.3307,1.0442,-0.0496,3.5829,0.0945
PO,0.9276,1.0591,-0.0424,0.3529,0.3114
PP,1.1204,0.9984,-0.0597,2.4448,-0.0284
PS,0.9276,1.0591,-0.0424,0.3529,0.3114
PU,1.266,1.0034,-0.0365,1.5515,-0.0221
QS,1.0945,0.9938,-0.0755,2.5601,0.0114
RA,0.9276,1.0591,-0.0424,0.3529,0.3114
RD,0.9276,1.0591,-0.0424,0.3529,0.3114
RL,6.4362,0.6827,-0.0194,10.9767,-0.5477
RM,2.9435,0.9132,-0.0141,1.658,-0.1095
RO,1.2866,0.9962,-0.0355,1.4485,-0.0316
SA,1.1557,1.0031,-0.0408,0.9807,0.0314
SB,6.0522,0.6768,-0.0217,15.4232,-0.6354
SD,0.9276,1.0591,-0.0424,0.3529,0.3114
SK,1.2866,0.9962,-0.0355,1.4485,-0.0316
SM,6.1308,0.6904,-0.0195,10.1563,-0.533
SN,1.3466,0.959,-0.0574,8.9538,-0.3454
SO,1.2866,0.9962,-0.0355,1.4485,-0.0316
SP,1.4232,0.9989,-0.0285,1.2156,0.0088
SR,1.3307,1.0442,-0.0496,3.5829,0.0945
SS,0.9276,1.0591,-0.0424,0.3529,0.3114
SU,1.0902,1.0298,-0.0354,0.7011,0.1178
SV,1.0645,0.9918,-0.0812,1.5754,-0.0272
SY,1.2673,1.0,-0.0331,1.1149,0.0001
TM,0.9276,1.0591,-0.0424,0.3529,0.3114
TO,0.9276,1.0591,-0.0424,0.3529,0.3114
TS,1.3213,0.9995,-0.0254,0.8549,-0.0016
VP,1.1204,0.9984,-0.0597,2.4448,-0.0284
WA,4.1492,0.7531,-0.0269,14.5384,-0.5811
WE,6.4362,0.6827,-0.0194,10.9767,-0.5477
WI,0.968,1.0301,-0.0468,0.1639,0.4127
WK,1.3466,0.959,-0.0574,8.9538,-0.3454
WN,1.2898,0.9982,-0.0289,0.8546,0.0171
WO,1.2866,0.9962,-0.0355,1.4485,-0.0316
WP,3.2425,0.798,-0.0435,52.0549,-0.7064
WT,1.2721,0.9995,-0.0256,0.7447,-0.0019
YP,1.2673,1.0,-0.0331,1.1149,0.0001
