species_code,wykoffoff_b0,wykoffoff_b1
AB,4.4772,-4.7206
AE,4.6008,-7.2732
AH,3.855,-2.6623
AP,3.9678,-3.251
AS,4.4819,-4.5314
BA,4.6155,-6.2945
BB,4.4388,-4.0872
BC,4.3286,-4.0922
BD,4.582,-5.0903
BE,4.2378,-4.108
BG,4.3802,-4.7903
BJ,3.9191,-4.3503
BK,4.4299,-4.992
BN,4.5018,-5.6123
BO,4.4747,-4.8698
BT,4.9396,-8.1838
BU,4.5697,-5.7172
BY,4.6171,-6.2684
CA,4.9396,-8.1838
CB,4.7342,-6.2674
CK,4.342,-5.1193
CO,4.4618,-4.8786
CT,4.6067,-5.203
CW,4.9396,-8.1838
DW,3.7301,-2.7758
EL,4.3744,-4.5257
FM,4.3164,-4.0582
FR,4.5084,-6.0116
GA,4.6155,-6.2945
HA,4.4931,-4.6501
HB,4.4207,-5.1435
HH,4.0322,-3.0833
HI,4.5128,-4.9918
HL,4.3734,-5.3135
HM,4.5084,-6.0116
HY,4.0151,-4.3314
JU,4.0374,-4.2964
LB,4.4009,-5.056
LK,4.4375,-4.6654
LL,4.5991,-5.9111
LO,4.2959,-5.3332
LP,4.6897,-6.8801
MB,3.9613,-3.1993
MG,4.4004,-4.7519
ML,4.4004,-4.7519
MS,4.4004,-4.7519
MV,4.3609,-4.1423
OH,3.9392,-3.4279
OS,4.3898,-5.7183
OT,3.9089,-3.0149
OV,4.571,-6.0922
PC,4.4603,-5.0577
PD,4.5457,-6.8
PI,4.5084,-6.0116
PO,4.2496,-4.8061
PP,4.3898,-5.7183
PS,4.4091,-4.8464
PU,4.2899,-4.1019
QS,4.6106,-5.438
RA,4.0965,-3.925
RD,3.7512,-2.5539
RL,4.6238,-7.4847
RM,4.3379,-3.8214
RO,4.5202,-4.8896
SA,4.6561,-6.2258
SB,4.4522,-4.5758
SD,4.1352,-3.745
SK,4.5142,-5.2205
SM,4.4834,-4.5431
SN,4.6135,-5.7613
SO,4.5225,-4.9401
SP,4.6271,-64095.0
SR,4.7258,-6.7703
SS,4.3383,-4.5018
SU,4.592,-5.1719
SV,4.5991,-6.6706
SY,4.6355,-5.2776
TM,4.2139,-4.5419
TO,3.9365,-4.4599
TS,4.4334,-4.5709
VP,4.4718,-5.0078
WA,4.5959,-6.4497
WE,4.5992,-7.7428
WI,4.4911,-5.7928
WK,4.5577,-4.9595
WN,4.5018,-5.6123
WO,4.5463,-5.2287
WP,4.609,-6.1896
WT,4.433,-4.5383
YP,4.6892,-4.9605
